Model,R2,RMSE,MAE,MAPE (%),CV R2 Mean,CV R2 Std,Fit Time(s)
Gradient Boosting,0.0636,3018.94,1693.37,74.68,0.1811,0.0033,28.4
XGBoost,0.0634,3019.27,1693.53,74.71,0.1811,0.003,0.7
LightGBM,0.0608,3023.43,1694.68,74.77,0.1805,0.0032,0.4
Random Forest,0.0586,3027.0,1695.84,74.84,0.1786,0.0032,17.7
Ridge Regression,0.0582,3027.64,1701.04,75.11,0.1751,0.003,0.0
Linear Regression,0.0582,3027.59,1701.04,75.11,0.1751,0.003,0.0
Lasso Regression,0.0578,3028.17,1701.02,75.1,0.1751,0.003,0.1
Decision Tree,0.0545,3033.52,1705.26,75.37,0.1695,0.0044,0.2
